"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20188","TC05-Đăng kí tư vấn khi tất cả các trường đều rỗng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","18487","TC11-Đăng kí tư vấn với số điện thoại chứa chữ cái","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","6265","TC07-Verify - Account Too Short","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","16801","TC22-Đăng kí tư vấn với email dưới 8 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","19947","TC07-Đăng kí tư vấn với email không hợp lệ (thiếu domain)","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17154","TC17-Đăng kí tư vấn với số điện thoại hợp lệ bắt đầu bằng 0","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14585","TC36-Đăng kí tư vấn với SDT chứa ký tự #","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17807","TC20-Đăng kí tư vấn với tên chứa khoảng trắng ở đầu","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14451","TC44-Đăng kí tư vấn với SDT chứa ký tự _","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14714","TC40-Đăng kí tư vấn với SDT chứa ký tự &","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","13436","TC46-Đăng kí tư vấn với SDT chứa ký tự =","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15067","TC28-Đăng kí tư vấn với tên dài hơn 10 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","7272","TC08-Verify - Password Too Short","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","3849","TC09-Verify - Invalid Character in Account","chromium","2026-08-05","passed","2026-08-05","","ui\login.spec.ts","",""
"","16890","TC24-Đăng kí tư vấn với SDT dưới 8 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","13827","TC47-Đăng kí tư vấn với SDT chứa nhiều ký tự đặc biệt","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20405","TC08-Đăng kí tư vấn với email hợp lệ có dấu chấm","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20624","TC03-Đăng kí tư vấn khi trường tên rỗng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15893","TC12-Đăng kí tư vấn với tên rất dài","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","13752","TC33-Đăng kí tư vấn với SDT hỗn hợp chữ và số","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17208","TC32-Đăng kí tư vấn với SDT chỉ chứa chữ cái","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14418","TC35-Đăng kí tư vấn với SDT chứa ký tự @","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","12885","TC41-Đăng kí tư vấn với SDT chứa ký tự *","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","16436","TC38-Đăng kí tư vấn với SDT chứa ký tự %","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20086","TC01-Đăng kí tư vấn với đầy đủ thông tin","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","13423","TC45-Đăng kí tư vấn với SDT chứa ký tự +","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","13713","TC25-Đăng kí tư vấn với email và tên dưới 8 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14411","TC27-Đăng kí tư vấn với email dài hơn 10 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","14466","TC42-Đăng kí tư vấn với SDT chứa ký tự (","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","16078","TC39-Đăng kí tư vấn với SDT chứa ký tự ^","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","17739","TC21-Đăng kí tư vấn với số điện thoại chứa dấu gạch ngang","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","20008","TC04-Đăng kí tư vấn khi trường số điện thoại rỗng","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
"","15000","TC30-Đăng kí tư vấn với email và tên dài hơn 10 ký tự","chromium","2026-08-05","failed","2026-08-05","","ui\Footer.spec.ts","",""
